id,email,telefone,endereco,cidade,estado,cep,data_nascimento,idade,profissao,empresa,salario,altura,peso,imc,renda_familiar,score_credito,tempo_cliente,data_cadastro
97,jcardoso@example.net,(031) 4956 4120,"Estrada Cecilia Melo, 96
Camponesa 2ª Seção
11612-219 Andrade do Sul / MA",Abreu,Ceará,98053-975,2002-10-14,22,Agrimensor,Pacheco Freitas S.A.,34167,1.51,81.0,35.5,34391,328,10,2025-04-02 03:47:41
98,upastor@example.net,+55 (081) 5101-9612,"Campo Casa Grande, 81
Vila Madre Gertrudes 4ª Seção
45760715 Sousa / DF",Jesus do Amparo,Ceará,49873511,1998-03-16,27,Empacotador,Borges,12550,1.8,115.5,35.6,64868,828,7,2025-09-06 05:55:19
99,jesusana-clara@example.com,+55 21 9620 1140,"Avenida de Rezende, 46
Vila Bandeirantes
84402300 Sales / PA",Correia,Pernambuco,96204-864,1987-02-16,38,Hostess,Oliveira,5799,1.61,80.8,31.2,85088,592,11,2022-09-29 12:45:34
100,agathaalves@example.com,81 0675 8157,"Recanto Benjamim Rezende, 55
Coqueiros
38529021 Abreu de Costela / PI",Cirino,Minas Gerais,11033-139,1966-12-19,58,Tecnólogo em negócios imobiliários,Pinto Lima S/A,47667,1.99,101.2,25.6,19049,329,18,2023-04-16 11:21:58
101,maria-vitoria62@example.net,(084) 4593 4323,"Ladeira de Leão, 94
Vila Da Paz
55773-978 Silva / RR",Rezende,São Paulo,28659285,1987-09-07,38,Lubrificador de máquinas,Cavalcanti Freitas - ME,48047,1.96,69.9,18.2,55291,827,5,2025-08-05 08:04:15
102,barbaradias@example.com,0800-335-5168,"Quadra de Rocha, 275
Colégio Batista
12532-808 Azevedo / RN",Oliveira,Rio Grande do Norte,14248-973,2000-01-06,25,Engenheiro agrícola,da Cunha,11780,1.97,104.2,26.8,7719,463,17,2021-02-08 14:19:26
103,da-cunhafernando@example.net,+55 51 7438 5271,"Chácara de Camargo, 44
Canadá
65789763 Albuquerque / AM",Farias,Piauí,30645301,1994-01-24,31,Sexólogo,da Conceição Garcia e Filhos,49926,1.52,71.2,30.8,40640,734,19,2020-10-30 00:29:03
104,joao-pedronunes@example.com,+55 (031) 6206-8807,"Campo de Mendes, 52
Mangabeiras
64334452 Ribeiro de Moraes / RJ",Albuquerque,Alagoas,60454294,2005-07-25,20,Biomédico,Ribeiro,47010,1.72,50.3,17.0,19687,628,16,2023-03-06 12:00:07
105,cirinodavi-luiz@example.org,(081) 3271-3669,"Recanto Silveira, 29
Padre Eustáquio
19052-663 Moura da Serra / AP",Sá das Pedras,Roraima,39800-556,2005-10-16,19,Educador integrado à saúde pública,da Cruz,9591,1.85,109.5,32.0,45444,402,14,2022-04-02 19:18:56
106,lgomes@example.net,(031) 2824 2360,"Trecho Léo Silva
Esplanada
67709906 Azevedo de Nascimento / RJ",Peixoto,Espírito Santo,15332044,1947-05-26,78,Designer de moda,Aragão,49200,1.69,76.6,26.8,43310,787,8,2022-02-18 16:36:14
107,danielnovaes@example.net,+55 (084) 0392 4107,"Lagoa Lucca Almeida, 458
Castanheira
71098000 Macedo de Rezende / SC",Moreira do Sul,Piauí,28498654,1991-11-12,33,Agrônomo,Andrade Ltda.,3010,1.61,87.1,33.6,52678,682,17,2021-11-03 14:57:18
108,hadassa37@example.com,+55 (084) 0007 5436,"Avenida Alves, 86
Vila Canto Do Sabiá
08791-385 Gomes do Campo / MS",Almeida das Flores,Mato Grosso do Sul,72192467,1951-10-02,74,Assistente de direção,Gomes,22486,1.82,50.7,15.3,86333,697,9,2023-08-10 11:44:47
109,danilo17@example.net,+55 (061) 5493-2315,"Praça de Aparecida, 93
São Tomaz
26165-718 Machado Paulista / AM",Cunha da Praia,Maranhão,67815511,1974-07-22,51,Agrônomo,Monteiro,10984,1.86,81.4,23.5,6634,416,20,2023-12-12 03:24:29
110,nunesjoao-guilherme@example.org,+55 (081) 0346 4467,"Distrito Costa, 65
Conjunto Santa Maria
75737-961 Vasconcelos de Dias / CE",Monteiro de Goiás,Pernambuco,09600-430,1977-11-08,47,Técnico em agropecuária,Costa,27001,1.7,50.5,17.5,16009,486,0,2025-04-16 00:43:55
111,ian09@example.net,(041) 5726 5635,"Residencial Pereira, 3
Goiania
10553-717 Barbosa de da Luz / GO",Mendonça do Oeste,Sergipe,23874109,1957-02-04,68,Médico geneticista,Garcia Ltda.,10715,1.99,78.0,19.7,7673,643,10,2022-01-17 01:10:04
112,azevedoliam@example.com,+55 (051) 1392 8798,"Fazenda de Albuquerque, 22
Pindura Saia
78723-373 Fernandes / PR",Cassiano de Aragão,Distrito Federal,23038-330,1993-10-30,31,Bedel,da Cunha,35788,1.59,112.0,44.3,46491,365,0,2025-09-05 21:53:25
113,pintoolivia@example.net,+55 31 1916 7430,"Feira Juliana Souza, 26
Bairro Das Indústrias Ii
32163-281 Pinto / SP",Cirino de Freitas,Paraná,66010664,1970-10-30,54,Clap loader,Moura Cirino S.A.,8102,1.76,98.0,31.6,78796,303,17,2025-08-07 22:15:30
114,gael-henriquecavalcanti@example.org,(071) 6705-3747,"Viela de Moraes, 44
Vila Calafate
52138-730 Teixeira da Mata / DF",da Mota,Pernambuco,76454-104,1979-04-19,46,Instalador de painéis,Siqueira,23367,1.82,58.3,17.6,87728,482,12,2023-06-11 01:54:39
115,marcelada-conceicao@example.org,+55 (051) 2679 4529,"Recanto Nunes, 33
Vila Nova Gameleira 1ª Seção
42880-786 Abreu Verde / RN",Fonseca,Paraná,51219-738,1987-10-01,38,Karateca,Moraes - EI,36732,1.52,65.0,28.1,60440,470,12,2023-03-06 07:43:19
116,maria-julia21@example.org,0800-680-7708,"Travessa Farias
Conjunto Serra Verde
42671-686 Costa de Brito / CE",Pinto,Rio Grande do Sul,69135510,1981-04-11,44,Empregado doméstico,Barros,12420,1.66,71.3,25.9,78372,554,17,2024-03-27 23:12:30
117,rbarbosa@example.net,+55 51 7155 3134,"Praça da Cruz, 44
Frei Leopoldo
72584362 Vieira / RR",Sousa de da Mata,Acre,58456101,1955-09-11,70,Nadador,Pires,29700,1.53,61.7,26.4,77764,627,8,2022-06-28 22:51:56
118,luarada-cunha@example.org,+55 (031) 0771 0191,"Recanto Sá, 40
Santa Terezinha
48700901 Monteiro de Goiás / SC",da Luz,Mato Grosso,72469008,1988-04-26,37,Pediatra,da Mota,48320,1.66,101.3,36.8,15410,744,4,2024-07-22 20:38:36
119,paulomachado@example.net,+55 (011) 3147 9741,"Viaduto de Brito, 57
Mariano De Abreu
57722-647 Casa Grande de Ribeiro / BA",Melo,Minas Gerais,35190832,1986-10-29,38,Modelista,Borges - EI,42901,1.51,55.1,24.2,60351,468,0,2022-03-28 04:05:29
120,larissa69@example.org,(051) 5040-8312,"Feira Otto da Cruz, 224
Vila Ouro Minas
87489498 Guerra Alegre / SP",Sousa de Goiás,Distrito Federal,13629446,1993-06-27,32,Tecnólogo em recursos pesqueiros,Cavalcante,20756,1.91,55.5,15.2,31001,524,1,2023-03-10 17:40:21
121,bernardoaragao@example.org,41 3241-2329,"Feira Anna Liz Freitas
Primeiro De Maio
26823-982 Novais de Marques / MA",Cardoso,Rio Grande do Sul,56339-474,1991-08-29,34,Ginasta artística,Gomes,12021,1.64,54.3,20.2,55672,501,14,2025-10-03 00:47:39
122,renanabreu@example.com,+55 (011) 9898-3409,"Chácara Nascimento, 299
Parque São José
12953-326 Porto de Souza / AL",Nunes,Distrito Federal,93654-825,1967-06-09,58,Engenheiro aeronáutico,Rios Ltda.,6433,1.85,109.0,31.8,10656,428,4,2025-08-28 03:06:20
123,ravi05@example.net,+55 (011) 2656 0467,"Esplanada de Peixoto, 29
Fazendinha
41013838 Pimenta de Goiás / RR",Viana,Rio Grande do Sul,25317-352,1983-12-24,41,Imunologista,da Costa - EI,6087,1.7,88.8,30.7,42651,479,19,2023-07-09 17:37:57
124,andre75@example.com,21 1976 3932,"Vila Nunes, 73
Vila Mangueiras
21149-228 Câmara de Minas / AL",Pacheco de Sousa,Roraima,02989213,1949-08-23,76,Timoneiro,Aparecida Novais - ME,8592,1.76,87.7,28.3,59977,639,17,2025-05-29 01:03:02
125,stephanyaraujo@example.org,71 6025 0203,"Esplanada Mariana Aparecida, 24
Mirtes
97838-091 da Rocha / DF",Campos de Sampaio,Piauí,59072-962,2001-05-18,24,Compositor,Duarte,22387,1.97,92.7,23.9,79039,556,0,2024-12-20 07:06:21
126,joao-felipeviana@example.org,71 6669 5498,"Colônia de Duarte, 85
Tupi B
00083420 da Rosa de Minas / SP",Moura,Amazonas,65997024,1958-01-28,67,Ortopedista,da Costa Gomes S/A,29640,1.77,69.4,22.2,15128,487,0,2024-08-28 10:57:04
127,theodoro18@example.net,(011) 3042 9513,"Distrito Melo, 37
Vila Formosa
81706-403 Pinto de Minas / SP",Porto Alegre,Minas Gerais,92128-026,1952-09-22,73,Profissional de relacionamento com investidores RI,Fonseca,32213,1.57,99.6,40.4,89113,462,14,2024-06-26 18:18:30
128,usiqueira@example.com,84 8924 5575,"Estação Ayla Vieira, 514
Santa Branca
60230-903 Viana do Norte / MA",Moreira,Goiás,04979717,1952-03-17,73,Turismólogo,Farias Ltda.,4324,1.83,110.4,33.0,84091,599,14,2024-01-02 20:11:34
129,pborges@example.net,+55 84 8647-7805,"Aeroporto Maria Teixeira, 8
Céu Azul
77199327 Siqueira do Norte / RN",Câmara,Ceará,20210984,1968-02-20,57,Harpista,Fonseca da Luz S/A,9501,1.93,118.6,31.8,49039,429,4,2023-05-08 12:35:45
130,livia54@example.org,+55 (031) 2913-6524,"Travessa Silveira, 593
Vila Nova Gameleira 1ª Seção
67113-114 Mendes de Câmara / MG",Silveira,Pernambuco,80456-672,1948-08-03,77,Angiologista,Silveira Rezende e Filhos,13109,1.96,75.6,19.7,51927,684,3,2024-12-30 11:00:18
131,apolloalves@example.com,21 7766 5578,"Núcleo Leandro Caldeira
Jardim São José
28878-219 da Cunha do Amparo / AL",Nascimento,Rio Grande do Norte,25031852,1975-07-31,50,Profissional de informática,Azevedo,42072,1.75,64.5,21.1,12145,301,0,2024-03-17 20:47:28
132,mcunha@example.com,11 4989-7595,"Estação Matteo da Mota, 79
Mineirão
67218310 Pereira / AC",Moraes de Alves,Piauí,22496-886,1993-12-01,31,Vereador,Moreira Teixeira - ME,14283,1.53,70.6,30.2,31723,805,11,2025-07-16 21:13:40
133,xcamargo@example.net,21 1255-8514,"Distrito de Novais, 69
Braúnas
94174-618 Cavalcanti Verde / PA",Nunes,Pernambuco,54629-336,1975-07-09,50,Chaveiro,Ramos Ltda.,29653,1.66,53.2,19.3,15750,481,0,2024-01-29 16:16:13
134,cassianofernanda@example.com,+55 (031) 2305 9106,"Conjunto de Novais, 770
Camponesa 1ª Seção
65159-708 Novais do Norte / MG",Souza da Mata,Santa Catarina,21171-048,1956-08-09,69,Forneiro,Caldeira Sá S.A.,42524,1.91,115.3,31.6,80249,766,19,2021-07-05 13:23:25
135,ian43@example.net,(051) 0253-0336,"Jardim João Vitor Sampaio, 14
Granja De Freitas
57236-083 Moraes das Pedras / ES",Martins,Rondônia,44211664,2007-08-30,18,Classificador contábil,Peixoto S.A.,6178,1.78,84.3,26.6,51998,474,14,2024-05-28 14:28:30
136,jda-rocha@example.net,51 0922 3570,"Esplanada de Gonçalves, 15
Palmares
01149-288 Mendes das Flores / AC",Siqueira da Praia,Acre,53966-870,2001-09-12,24,Alergologista,da Costa,39615,1.53,86.9,37.1,66378,461,10,2021-01-08 21:11:23
137,natalia58@example.com,+55 (081) 4744-1870,"Área Maria Júlia Ferreira, 27
Vila Santa Monica 2ª Seção
90431435 Novaes Verde / RJ",Jesus,Roraima,12836-519,1984-04-12,41,Especialista em agronegócios,Mendonça,40518,1.72,114.4,38.7,22446,541,18,2021-06-22 17:24:02
138,henry77@example.org,+55 (021) 8668 5629,"Fazenda Carvalho, 40
Rio Branco
80715907 Souza Grande / MG",Barros do Sul,Pernambuco,90862-413,1953-03-23,72,Enólogo,Pastor S.A.,36389,1.66,96.7,35.1,25569,533,19,2025-05-12 02:28:16
139,andradekamilly@example.com,+55 (071) 4986 1459,"Avenida Almeida, 2
Milionario
14697-817 da Mota / MT",Peixoto de Cavalcanti,Rondônia,24794-243,2005-04-18,20,Profissional de cinema,Costa Brito e Filhos,32876,1.55,82.0,34.1,19219,838,19,2023-05-07 06:05:19
140,qcaldeira@example.org,+55 (031) 4605 3948,"Travessa de da Luz, 65
Vila Das Oliveiras
60518830 Ramos de Rodrigues / SE",Cardoso,Sergipe,19341510,2003-11-16,21,Conferente de expedição,Caldeira,23832,1.52,56.2,24.3,80501,420,4,2020-12-14 02:05:25
141,dcardoso@example.org,+55 (061) 3325-4339,"Distrito Felipe Vieira, 11
Marmiteiros
06961505 Jesus / PI",da Cruz,Paraná,49711216,1957-01-22,68,Capoeirista,da Paz - ME,36841,1.87,65.1,18.6,80998,782,20,2023-06-06 12:53:30
142,leaomarcela@example.org,31 5227-8059,"Trevo Lima, 264
Vila Maloca
91026-435 Lopes / ES",Siqueira de Goiás,Santa Catarina,80102567,1997-10-15,27,Engraxate,Moraes S.A.,8551,1.74,54.2,17.9,44268,499,7,2025-01-26 00:09:59
143,marianarodrigues@example.com,21 8401 6935,"Feira Pedro Borges
Ambrosina
88544-004 da Rosa do Amparo / AP",Dias Verde,Santa Catarina,72209782,1951-01-30,74,Marketeiro,Castro Ltda.,29288,1.66,118.5,43.0,76690,353,0,2022-01-27 01:52:35
144,britocaua@example.com,84 0999 8700,"Via Siqueira, 948
São João Batista
04468099 Costela / RN",da Mota do Oeste,Rio Grande do Norte,48420219,1964-07-27,61,Engenheiro de controle e automação,Pacheco,22975,1.56,84.4,34.7,66989,369,5,2022-07-18 12:38:36
145,wda-mota@example.com,(071) 1618-3778,"Aeroporto de Santos, 2
Vila Ipiranga
14873-907 Brito das Flores / RO",da Cunha da Mata,Rondônia,93626-841,1975-07-01,50,Sociólogo,Cunha,13470,1.75,108.0,35.3,43979,304,20,2022-03-14 21:01:31
146,cferreira@example.org,(031) 6538 2247,"Vereda Henrique Novais, 92
São Bento
24146-875 Pinto / MG",Cassiano,Espírito Santo,14946196,1986-12-23,38,Estofador,Castro,41903,1.94,88.2,23.4,40459,818,7,2025-01-19 23:35:26
147,pribeiro@example.org,+55 (041) 6200 9913,"Recanto Isabella Castro
Sport Club
99965-681 Novaes do Galho / RO",Aparecida do Oeste,Rondônia,94445-188,1980-04-08,45,Cirurgião bucal,Novais,6440,1.79,57.0,17.8,89056,728,20,2023-11-18 05:49:03
148,lorenzo83@example.com,+55 61 2188 5227,"Via Vieira, 1
São Marcos
86661-521 Santos / MA",Azevedo da Prata,Rio Grande do Norte,79761-629,1947-01-06,78,Musicoterapeuta,Pimenta S.A.,34078,1.9,52.7,14.6,23298,690,7,2023-11-24 14:30:24
149,qviana@example.net,51 0112 2299,"Lago de Almeida, 554
Maria Tereza
15008-915 da Paz da Serra / PE",Porto do Campo,São Paulo,08387426,1955-03-13,70,Cerimonialista,Martins da Cruz - EI,48077,1.7,55.3,19.1,69148,791,1,2025-04-03 05:38:30
150,camargoalana@example.com,+55 61 7882 7185,"Vila Rocha, 8
Nossa Senhora Aparecida
28618-132 Lopes dos Dourados / AP",Casa Grande de Dias,Distrito Federal,58139-178,2003-05-29,22,Continuista,Campos S/A,5242,1.88,65.5,18.5,80528,582,3,2021-04-27 14:05:39
151,araujoagatha@example.net,31 9197-2011,"Condomínio Sá, 90
Oeste
31627353 Sousa da Praia / TO",Souza,Maranhão,73412035,1999-08-11,26,Cambista,Moreira da Mota Ltda.,11560,1.98,89.6,22.9,49817,596,3,2025-02-17 15:53:59
152,luana57@example.com,84 1741-2620,"Condomínio João Miguel Lima, 51
São Geraldo
75510-559 da Rosa Paulista / CE",da Cruz,Sergipe,79181426,1981-04-22,44,Produtor de eventos,Rios,27871,1.51,115.1,50.5,65462,622,2,2025-05-17 09:13:02
153,rbarros@example.com,+55 (011) 8960 1748,"Jardim Sabrina Albuquerque
Manacas
35847107 Pacheco / RJ",Correia do Galho,Pernambuco,28862-054,1991-07-22,34,Neurologista,Melo,18154,1.74,73.1,24.1,20094,691,7,2024-05-12 16:09:26
154,matheus69@example.net,0900 499 8916,"Viela de Novaes
São Cristóvão
32715949 Farias do Campo / AP",Vargas da Serra,Pará,46711497,1953-06-22,72,Oftalmologista,Cavalcante Pires Ltda.,15921,1.65,79.2,29.1,97149,754,9,2023-11-01 01:58:40
155,fmonteiro@example.net,+55 (081) 7585-1166,"Viela de Sampaio
Cardoso
38214698 Araújo / SC",da Mata,Alagoas,55660-367,1988-09-01,37,Perfumista,Correia,48650,1.8,84.4,26.0,62533,824,19,2023-09-13 06:37:55
156,leandrorodrigues@example.net,(081) 6866 3277,"Passarela de Rocha, 5
Lourdes
63349-439 da Mata do Amparo / PE",Câmara,Rio Grande do Sul,76858745,1969-06-23,56,Gerente de inovações ou novos negócios,Correia,34376,1.93,79.8,21.4,98572,782,16,2025-06-20 23:08:27
157,lais98@example.net,+55 61 4953 4252,"Vereda de Costela, 2
Flavio De Oliveira
59093-771 Vargas dos Dourados / PR",Montenegro Grande,Bahia,69368488,1980-07-08,45,Engenheiro físico,Lima,24143,1.86,110.7,32.0,12515,324,10,2021-01-19 14:39:36
158,da-cunhahellena@example.net,21 4044 1945,"Vila de Rios, 805
Nova Gameleira
71631446 Ferreira / MT",Moreira,Rio Grande do Norte,98700210,1948-04-21,77,Profissional de reciclagem,Pires - EI,6213,1.9,93.0,25.8,5086,564,13,2022-04-10 01:41:49
159,diego12@example.com,11 6944 6152,"Vale Andrade, 790
Vila Havaí
20396-547 Barbosa de Goiás / MG",Pereira da Praia,Santa Catarina,90061682,1992-03-29,33,Ortoptista,Ferreira - EI,5182,1.55,94.3,39.3,84109,561,11,2024-11-10 20:28:58
160,gael-henriquepinto@example.org,0300 954 6747,"Lago de Camargo, 53
Pongelupe
45887781 Albuquerque do Norte / ES",Camargo,Mato Grosso do Sul,47200-384,1968-08-17,57,Eletricista,Guerra Vasconcelos S/A,34424,1.77,52.5,16.8,19471,761,0,2022-04-15 10:56:50
161,danielcamara@example.org,+55 (084) 2573-7424,"Vale Barbosa, 98
Delta
29856-580 Sá de Peixoto / RS",Machado das Flores,Rio de Janeiro,77260-982,1966-07-30,59,Gari,da Rocha Vargas S/A,26637,1.59,61.3,24.2,90475,478,16,2023-03-20 21:27:11
162,iduarte@example.org,(011) 2133-8601,"Jardim de Alves, 724
Cardoso
23990-571 da Mota de Araújo / RR",da Rosa,Rondônia,00887-494,1971-12-03,53,Capitão,da Rosa da Rocha e Filhos,16352,1.53,85.9,36.7,43767,737,15,2021-10-29 17:30:50
163,marinapinto@example.com,+55 41 8764 0480,"Colônia Ester Borges, 739
Vila Santo Antônio Barroquinha
03249-327 Porto dos Dourados / AP",Rios,Rio Grande do Norte,92409157,1964-01-04,61,Engenheiro físico,Aparecida,21535,1.74,64.8,21.4,66455,783,3,2024-08-03 08:53:20
164,yribeiro@example.com,(061) 8101-9558,"Fazenda Fernandes, 18
Vila Ecológica
16641347 Nogueira Verde / MG",Souza da Serra,Mato Grosso do Sul,44729728,1981-08-12,44,Apicultor,Mendonça,47167,1.8,101.6,31.4,92496,476,20,2021-11-25 12:31:07
165,imoura@example.org,41 8491 6983,"Pátio Moreira, 66
Paquetá
27209411 Montenegro / ES",Sales de Farias,Amazonas,63262810,1998-10-27,26,Orientador educacional,Rodrigues,26938,1.54,105.1,44.3,75699,713,6,2021-11-26 10:16:08
166,isaacdias@example.org,51 9473 8866,"Fazenda Cardoso, 36
Delta
91516-119 Novaes / MS",Nascimento de Abreu,Sergipe,95848-124,1986-02-25,39,Amolador de ferramentas,Martins,7720,1.84,107.8,31.8,51651,549,10,2024-07-29 06:14:59
167,antonio33@example.com,84 9229-6209,"Sítio de da Cunha
Vila São Gabriel Jacui
11970-501 Aparecida / PR",da Mota de Nogueira,Espírito Santo,07574294,2000-09-13,25,Engenheiro de energia,Pires,4366,1.64,115.4,42.9,62875,483,14,2022-07-14 21:48:55
168,valentinapinto@example.org,0500 756 4479,"Lago Henrique Martins, 14
Vitoria Da Conquista
45073892 da Cunha / TO",Farias de Goiás,Ceará,29403-089,1979-11-30,45,Químico,Leão Rezende S/A,37043,1.74,100.4,33.2,46483,533,18,2025-04-13 22:41:33
169,rael95@example.net,21 3076 7388,"Distrito de Mendes, 14
Vitoria Da Conquista
91212-016 Rocha / PE",Santos de Dias,Tocantins,33982968,1959-05-10,66,Presidente da República,Gomes,35648,1.75,83.7,27.3,43939,423,3,2021-06-10 23:00:49
170,rebeca39@example.com,0800 334 7816,"Lagoa Olivia Carvalho, 79
Paulo Vi
12219640 Santos de Minas / PE",Gonçalves do Sul,Santa Catarina,52080345,2007-02-23,18,Headhunter,Martins,25807,1.58,78.8,31.6,78629,658,0,2022-10-25 09:23:25
171,yagorocha@example.com,31 1561-1429,"Setor Pietro Ramos
Corumbiara
87885985 Pastor / RO",da Luz do Norte,Distrito Federal,57474-170,1989-05-22,36,Representante comercial,da Mota - EI,35478,1.53,105.1,44.9,61378,620,13,2025-07-24 08:14:19
172,hmartins@example.net,(081) 1368 0328,"Viaduto Barbosa, 67
Colégio Batista
02846-449 Barbosa / AC",Moura,Ceará,19461-390,1967-09-08,58,Biomédico,Teixeira - ME,35337,1.73,77.4,25.9,75516,342,7,2022-01-04 18:04:14
173,novaisyasmin@example.org,(071) 7944-7557,"Viaduto Pedro Miguel Cassiano, 39
Jardim Guanabara
53638-577 Alves / SP",Leão,Ceará,10769793,1991-09-22,34,Eletricista de automóveis,Pastor,36473,1.79,72.9,22.8,22727,730,18,2022-08-25 06:51:49
174,das-nevesmelissa@example.com,21 5711-7919,"Setor de da Paz
Vila Nova Gameleira 3ª Seção
67179-966 Costa Grande / PR",Barros de Abreu,Tocantins,55098-803,1951-03-08,74,Windsurfer,Câmara,38345,1.93,96.8,26.0,63863,644,16,2021-11-01 17:46:26
175,otto94@example.com,+55 61 4902-2419,"Fazenda Isaque da Cruz, 68
Vila Nova Dos Milionarios
13936924 Pimenta / MT",Carvalho,Mato Grosso do Sul,60837399,1989-01-23,36,Cirurgião dentista,Garcia,22737,1.75,73.1,23.9,15867,726,8,2023-08-27 01:11:49
176,bella81@example.org,(081) 7178-7663,"Praia de Leão, 5
Vila Nova Gameleira 3ª Seção
13965502 da Rosa / GO",Ferreira,Rio Grande do Norte,96270-354,1952-07-22,73,Capataz,Cunha,35177,1.92,73.6,20.0,27708,719,1,2024-09-29 09:18:56
177,usales@example.net,0800-485-0351,"Estrada Silva, 168
Vila Madre Gertrudes 4ª Seção
44438759 Correia / GO",Peixoto,Mato Grosso,34014-056,1952-01-30,73,Técnico tributarista,Gonçalves Nunes - EI,25313,1.68,97.7,34.6,94683,433,15,2022-09-02 15:59:39
178,gabrielramos@example.com,+55 11 2498 9783,"Colônia Maria Isis Freitas, 756
Jaqueline
30753920 Andrade da Mata / MA",Nascimento do Norte,Mato Grosso,59504325,1961-07-01,64,Notário,da Luz Alves S/A,36620,1.53,73.0,31.2,31975,409,20,2022-10-13 00:14:50
179,sda-paz@example.com,84 5769 3548,"Distrito Lorenzo da Luz, 89
Vale Do Jatoba
70641174 Fonseca das Pedras / BA",Caldeira do Norte,Piauí,65580-612,1959-01-26,66,Nutricionista,da Cruz,39118,1.54,62.1,26.2,59570,482,18,2020-12-19 01:38:58
180,kaique32@example.org,+55 84 8336 0008,"Residencial Vitor Gabriel Barbosa, 72
Primeiro De Maio
40895-102 Cardoso das Pedras / GO",Cirino de Minas,Pernambuco,28506-290,2004-05-12,21,Revisor,Caldeira,6233,1.95,92.9,24.4,16288,374,7,2021-05-17 14:53:53
181,silveiraheloisa@example.net,81 1988-5351,"Favela da Cruz, 775
Vila Sumaré
08615-286 Albuquerque do Oeste / MS",Cardoso Grande,Rondônia,01334-860,1975-06-17,50,Lavador,Cirino,9913,1.79,68.4,21.3,36018,748,9,2020-10-12 08:08:57
182,aylla36@example.org,+55 (081) 0520 5007,"Feira Alexia da Paz, 71
Tirol
42135-955 Souza / RJ",Guerra,Bahia,46690-724,1946-12-27,78,Faturista,Porto - EI,31540,1.58,52.7,21.1,45455,616,19,2025-01-23 17:56:34
183,caionascimento@example.org,84 4129-2446,"Conjunto Leonardo Garcia, 31
Serrano
04075-088 Carvalho / CE",Casa Grande da Praia,Sergipe,10542-691,1962-09-05,63,Mecânico de vôo,Silveira Nunes Ltda.,13920,1.78,116.1,36.6,23578,594,9,2022-12-20 03:09:02
184,da-luzdavi@example.com,0800 200 6996,"Travessa de Aragão, 46
Comiteco
82112996 Duarte de da Mata / SC",da Mata,Minas Gerais,93182294,2007-07-06,18,Conferente de carga e descarga,Moraes e Filhos,11179,1.71,63.4,21.7,37322,478,12,2024-08-05 07:50:07
185,xvieira@example.net,+55 84 6685-2533,"Ladeira Pedro Sales, 43
Castelo
29588577 Freitas das Flores / RJ",Novaes das Flores,Amapá,34962466,1998-03-22,27,Governanta,Silveira Sampaio - ME,7956,1.92,114.3,31.0,66753,466,18,2023-05-16 06:14:22
186,anthonymachado@example.net,(081) 1958 0070,"Residencial Carvalho, 7
Serrano
87118640 Castro / RN",Vieira do Sul,São Paulo,99199-095,1989-08-22,36,Lactarista hospitalar,Vieira Lopes - ME,6361,1.83,67.2,20.1,12011,811,16,2025-09-26 18:02:34
187,mayafreitas@example.net,+55 21 7849-6834,"Setor Mendonça, 43
Nazare
44648580 Vasconcelos / SE",Duarte,Tocantins,16600340,1976-07-19,49,Produtor fonográfico,Ferreira,27077,1.53,91.8,39.2,39689,550,7,2023-07-03 11:01:05
188,ribeirodavi-lucas@example.net,+55 (011) 7310 2836,"Setor Carlos Eduardo Silveira, 23
Minas Brasil
73775-040 Sampaio / PI",Barros,Alagoas,35241-388,1960-11-06,64,Necromaquiador,Almeida,33547,1.69,110.4,38.7,81288,424,16,2021-04-23 12:54:39
189,apollo46@example.net,21 1040 5447,"Aeroporto de Dias, 2
Ipiranga
30993750 Andrade de Goiás / SP",Ribeiro,Ceará,58223-117,1986-09-21,39,Cientista social,da Rosa,49667,1.72,100.1,33.8,94479,356,10,2022-11-19 20:44:23
190,anthony-gabriel49@example.net,+55 (051) 4796 6808,"Feira Lima
Castelo
19905878 Campos / SE",Porto,Paraná,34041-779,1986-02-12,39,Engenheiro de iluminação,Nunes,41350,1.81,50.5,15.4,82933,720,7,2020-10-30 04:07:41
191,mateus75@example.org,0900-097-9044,"Rua Ribeiro, 6
São Paulo
19104561 Nogueira / PB",Sampaio de da Mata,Amazonas,75408552,1975-01-31,50,Bioquímico,Costela,23359,1.87,108.6,31.1,66387,453,2,2020-10-09 23:56:32
192,carvalhonicolas@example.com,+55 (041) 5102 8651,"Largo Kevin Nunes, 62
Vila São João Batista
78239812 Carvalho / RJ",Ribeiro,Pernambuco,03195-282,1975-02-13,50,Engenheiro têxtil,Fonseca,24933,1.59,64.5,25.5,55631,569,4,2020-10-19 19:41:05
193,brendapereira@example.org,0800 093 0779,"Lago de Costela, 77
Funcionários
04196410 da Conceição de Pimenta / AP",Novaes de Teixeira,Sergipe,96228-244,1974-04-13,51,Quitandeiro,Cunha,41426,1.77,97.9,31.2,75898,648,13,2022-04-30 05:47:02
194,qoliveira@example.net,(011) 6220-9030,"Viaduto de Correia, 48
Baleia
58316758 da Conceição das Flores / RS",Barbosa,Paraíba,58242345,2006-08-20,19,Oculista,da Cruz,49872,1.88,83.2,23.5,87743,775,18,2025-09-14 07:27:23
195,aylla03@example.com,81 6275 6665,"Vereda Bruna da Luz, 48
Dom Bosco
96459-941 Teixeira / DF",Silva do Amparo,Rio de Janeiro,32664613,1959-03-02,66,Coach,Dias,34176,1.66,85.3,31.0,81687,817,15,2021-04-24 01:45:05
